week_start,category,weekly_gmv_brl
2017-04-10,costruction_tools_tools,748.27
2017-04-10,electronics,220.03000000000003
2017-04-10,fashio_female_clothing,87.74000000000001
2017-04-10,fashion_bags_accessories,1110.67
2017-04-10,fashion_shoes,405.81
2017-04-10,fashion_sport,142.57
2017-04-10,fashion_underwear_beach,16.86
2017-04-10,fixed_telephony,64.83
2017-04-10,food,224.54
2017-04-10,food_drink,24.86
2017-04-10,furniture_bedroom,252.3
2017-04-10,furniture_decor,4612.669999999999
2017-04-10,furniture_living_room,1851.74
2017-04-10,garden_tools,3891.8999999999996
2017-04-10,health_beauty,5670.100000000001
2017-04-10,home_appliances,91.78999999999999
2017-04-10,home_appliances_2,477.13
2017-04-10,home_construction,641.1800000000001
2017-04-10,housewares,2446.9
2017-04-10,kitchen_dining_laundry_garden_furniture,162.54
2017-04-10,luggage_accessories,1873.1299999999999
2017-04-10,market_place,45.04
2017-04-10,music,49.42
2017-04-10,musical_instruments,622.3999999999999
2017-04-10,office_furniture,475.47
2017-04-10,perfumery,3769.0699999999993
2017-04-10,pet_shop,1150.51
2017-04-10,signaling_and_security,43.51
2017-04-10,small_appliances,320.14
2017-04-10,sports_leisure,5070.9000000000015
2017-04-10,stationery,1036.51
2017-04-10,tablets_printing_image,120.14
2017-04-10,telephony,1107.6
2017-04-10,toys,2937.979999999999
2017-04-10,unknown,1547.4799999999998
2017-04-10,watches_gifts,4081.6899999999996
2017-04-17,air_conditioning,638.6800000000001
2017-04-17,audio,153.32
2017-04-17,auto,2545.3100000000004
2017-04-17,baby,1798.42
2017-04-17,bed_bath_table,7690.140000000001
2017-04-17,books_general_interest,699.3100000000001
2017-04-17,books_imported,33.43
2017-04-17,computers_accessories,6317.129999999999
2017-04-17,consoles_games,1023.9799999999999
2017-04-17,cool_stuff,5378.719999999999
2017-04-17,costruction_tools_garden,169.62
2017-04-17,drinks,124.92999999999999
2017-04-17,dvds_blu_ray,30.759999999999998
2017-04-17,electronics,1072.61
2017-04-17,fashion_bags_accessories,924.36
2017-04-17,fashion_male_clothing,277.07
2017-04-17,fashion_shoes,525.24
2017-04-17,fashion_sport,41.04
2017-04-17,fixed_telephony,74.59
2017-04-17,food,26.28
2017-04-17,furniture_decor,6869.120000000002
2017-04-17,furniture_living_room,127.98
2017-04-17,garden_tools,4237.18
2017-04-17,health_beauty,7690.029999999999
2017-04-17,home_appliances,142.62
2017-04-17,home_appliances_2,469.84
2017-04-17,home_confort,2212.7999999999997
2017-04-17,home_construction,800.8000000000001
2017-04-17,housewares,2952.41
2017-04-17,kitchen_dining_laundry_garden_furniture,619.07
2017-04-17,luggage_accessories,2022.12
2017-04-17,market_place,444.25
2017-04-17,musical_instruments,1844.6599999999999
2017-04-17,office_furniture,2189.8900000000003
2017-04-17,perfumery,4116.530000000001
2017-04-17,pet_shop,1440.9599999999998
2017-04-17,small_appliances,11773.0
2017-04-17,sports_leisure,6738.879999999999
2017-04-17,stationery,1752.29
2017-04-17,tablets_printing_image,230.78
2017-04-17,telephony,2196.4
2017-04-17,toys,3363.2300000000005
2017-04-17,unknown,1468.3100000000004
2017-04-17,watches_gifts,3738.330000000001
2017-04-24,air_conditioning,225.07
2017-04-24,art,147.17000000000002
2017-04-24,audio,555.1
2017-04-24,auto,4965.510000000001
2017-04-24,baby,1485.45
2017-04-24,bed_bath_table,7806.91
2017-04-24,books_general_interest,138.64999999999998
2017-04-24,christmas_supplies,93.97
2017-04-24,cine_photo,87.6
2017-04-24,computers_accessories,4563.45
2017-04-24,consoles_games,188.97
2017-04-24,cool_stuff,5701.760000000001
2017-04-24,costruction_tools_garden,1414.5899999999997
2017-04-24,electronics,3382.43
2017-04-24,fashion_bags_accessories,1090.3899999999999
2017-04-24,fashion_male_clothing,67.24
2017-04-24,fashion_shoes,651.2
2017-04-24,fixed_telephony,77.98
2017-04-24,food_drink,55.92
2017-04-24,furniture_bedroom,838.98
2017-04-24,furniture_decor,7605.560000000001
2017-04-24,furniture_mattress_and_upholstery,130.8
2017-04-24,garden_tools,3909.0200000000004
2017-04-24,health_beauty,7001.5199999999995
2017-04-24,home_appliances,318.02
2017-04-24,home_confort,57.56
2017-04-24,home_construction,113.88
2017-04-24,housewares,7712.8600000000015
2017-04-24,kitchen_dining_laundry_garden_furniture,127.35999999999999
2017-04-24,luggage_accessories,2611.87
2017-04-24,market_place,1554.46
2017-04-24,music,39.42
2017-04-24,musical_instruments,530.92
2017-04-24,office_furniture,4499.300000000001
2017-04-24,perfumery,3625.61
2017-04-24,pet_shop,2542.9999999999995
2017-04-24,small_appliances,458.13000000000005
2017-04-24,sports_leisure,8688.770000000002
2017-04-24,stationery,1386.4
2017-04-24,tablets_printing_image,516.57
2017-04-24,telephony,3054.05
2017-04-24,toys,4293.57
2017-04-24,unknown,3017.21
2017-04-24,watches_gifts,6772.7
2017-05-01,agro_industry_and_commerce,67.77
2017-05-01,air_conditioning,431.92
2017-05-01,art,119.57000000000001
2017-05-01,audio,626.98
2017-05-01,auto,3256.6399999999994
2017-05-01,baby,2237.1000000000004
2017-05-01,bed_bath_table,6861.790000000002
2017-05-01,books_general_interest,460.94
2017-05-01,books_technical,140.28
2017-05-01,cine_photo,91.71000000000001
2017-05-01,computers_accessories,5777.05
2017-05-01,consoles_games,459.44000000000005
