seller_id,seller_gmv_brl,seller_orders,avg_delivery_days,avg_review_score
6061155addc1e54b4cfb51c1c2a32ad8,16513.31,28,5.79,4.7
a673821011d0cec28146ea42f5ab767f,16490.14,129,12.57,3.89
75d34ebb1bd0bd7dde40dd507b8169c3,16479.51,62,16.07,3.82
c847e075301870dd144a116762eaff9a,16460.78,42,16.81,4.17
a3e9a2c700480d9bb01fba070ba80a0e,16323.89,130,13.15,4.02
cfb1a033743668a192316f3c6d1d2671,16236.2,147,11.87,3.96
8e6d7754bc7e0f22c96d255ebda59eba,16212.51,85,14.08,2.97
a5cba26a62b8b4d0145b68b841e62e7f,16120.66,54,13.2,4.53
6edacfd9f9074789dad6d62ba7950b9c,16087.6,208,9.05,4.37
6039e27294dc75811c0d8a39069f52c0,16047.17,64,17.98,3.83
1f9ab4708f3056ede07124aad39a2554,16043.51,78,14.57,4.09
440dd6ab244315c632130ecfb63827b1,15793.21,94,16.67,3.85
ac3508719a1d8f5b7614b798f70af136,15792.23,103,9.46,4.57
701938c450705b8ae65fc923b70f35c7,15792.12,75,12.52,3.77
05f51e13da97139648b8125c31e5f51b,15788.3,60,12.29,4.1
530ec6109d11eaaf87999465c6afee01,15640.21,97,10.71,4.22
289cdb325fb7e7f891c38608bf9e0962,15639.29,110,6.66,4.58
b8bc237ba3788b23da09c0f1f3a3288c,15621.16,45,11.92,4.35
a7f13822ceb966b076af67121f87b063,15595.12,75,22.16,3.44
c31eff8334d6b3047ed34bebd4d62c36,15586.05,122,12.77,3.85
080199a181c46c657dc5aa235411be3b,15544.88,79,8.11,4.61
aba1721a889e04decc910aa13b768ef4,15352.47,83,9.19,4.46
431af27f296bc6519d890aa5a05fdb11,15250.85,117,16.94,3.77
c6bda72e4dbf5c5866b13cb1810c6d03,15196.12,59,10.21,4.4
48436dade18ac8b2bce089ec2a041202,15183.64,138,14.15,4.05
2e1c9f22be269ef4643f826c9e650a52,15122.37,167,9.72,4.16
0ea22c1cfbdc755f86b9b54b39c16043,15075.31,237,11.02,4.32
0b35c634521043bf4b47e21547b99ab5,15008.74,51,17.42,3.49
1ca7077d890b907f89be8c954a02686a,15001.43,115,15.03,2.2
9e6229250fedbe05838fef417b74e7fb,14986.65,74,11.89,3.9
00fc707aaaad2d31347cf883cd2dfe10,14969.99,103,15.77,3.79
ef506c96320abeedfb894c34db06f478,14968.43,324,13.34,3.9
d50d79cb34e38265a8649c383dcffd48,14944.68,70,13.16,4.25
e26901d5ab434ce92fd9b5c256820a4e,14938.88,202,9.3,4.06
e8b3a3a38279a82f0e5d006d5e5b7d2c,14916.39,87,16.89,3.73
ce7d1888639e6fb06b2749cbfdac1ff7,14876.54,78,14.19,4.11
813348c996469b40f2e028d5429d3495,14800.43,179,10.2,4.0
2b1a40c1daabc6ca280c4b815c101841,14634.88,23,13.91,3.63
d05ae8f7a5bd1d2a690a44cd079e4e27,14595.43,78,11.24,3.79
240b9776d844d37535668549a396af32,14452.65,36,11.36,4.28
34d1ca11b242c0fee2c834ae8d788566,14404.28,40,13.13,4.3
0be8ff43f22e456b4e0371b2245e4d01,14384.65,161,10.34,3.89
8d956fec2e4337affcb520f56fd8cbfd,14343.14,211,9.3,4.19
d6b1ce66b035a475f00c017792ff9769,14315.88,92,10.17,4.17
cab85505710c7cb9b720bceb52b01cee,14295.24,206,10.18,4.29
99eaacc9e6046db1c82b163c5f84869f,14274.52,66,15.01,3.9
95e03ca3d4146e4011985981aeb959b9,14243.5,175,12.35,4.0
80e6699fe29150b372a0c8a1ebf7dcc8,14154.9,98,11.49,4.29
ff063b022a9a0aab91bad2c9088760b7,14061.27,94,9.4,4.28
e24fc9fcd865784fb25705606fe3dfe7,13966.71,52,12.65,4.2
7202e2ba20579a9bd1acb29e61fe71f6,13916.16,53,13.23,3.83
5a8e7d5003a1f221f9e1d6e411de7c23,13866.19,139,10.47,4.17
8cc6a0e5738e61a87b03c78b2ba9db4b,13838.22,24,16.69,4.15
b372ee768ed69e46ca8cdbd267aa7a38,13813.84,63,12.32,4.4
6cd68b3ed6d59aaa9fece558ad360c0a,13718.46,149,10.46,4.45
adbc26658d6c7b4b6219f9d934598091,13692.25,88,17.18,4.05
