customer_state,customer_city,category,orders,gmv_brl
SP,campinas,office_furniture,24,5416.22
RS,santa maria,health_beauty,16,5403.96
MT,cuiaba,health_beauty,33,5373.86
MS,campo grande,health_beauty,24,5372.62
PR,maringa,watches_gifts,18,5372.61
SP,sao paulo,signaling_and_security,35,5336.68
SP,ribeirao preto,garden_tools,14,5329.23
RJ,sao goncalo,bed_bath_table,43,5324.9
SP,sao jose dos campos,watches_gifts,30,5322.33
SP,indaiatuba,health_beauty,28,5300.67
SP,mogi das cruzes,sports_leisure,37,5281.68
SC,florianopolis,furniture_decor,39,5274.75
SP,sao jose do rio preto,sports_leisure,31,5266.08
PR,londrina,cool_stuff,12,5258.76
MG,juiz de fora,sports_leisure,27,5252.91
MG,contagem,auto,22,5240.4
MG,belo horizonte,construction_tools_construction,23,5220.03
SP,sao jose dos campos,furniture_decor,49,5202.95
GO,goiania,computers_accessories,37,5196.59
SP,ribeirao preto,watches_gifts,25,5195.23
CE,fortaleza,telephony,46,5188.22
MG,uberlandia,bed_bath_table,35,5187.91
SP,sao paulo,construction_tools_lights,34,5174.84
RJ,nova iguacu,cool_stuff,26,5139.7
PR,cascavel,furniture_decor,22,5120.98
SP,sao jose dos campos,bed_bath_table,44,5107.4
SP,jundiai,sports_leisure,45,5104.54
SP,osasco,housewares,54,5076.49
SP,ribeirao preto,housewares,39,5063.5
SP,guarulhos,toys,32,5055.91
ES,vitoria,watches_gifts,25,5005.18
SP,piracicaba,watches_gifts,20,4992.35
MG,belo horizonte,electronics,55,4955.81
SP,sao jose dos campos,cool_stuff,25,4955.58
CE,fortaleza,bed_bath_table,39,4929.9
BA,salvador,office_furniture,20,4919.34
ES,vitoria,health_beauty,35,4912.43
RJ,duque de caxias,garden_tools,22,4911.62
SP,sorocaba,auto,21,4904.22
RJ,campos dos goytacazes,computers_accessories,20,4900.38
SC,florianopolis,auto,25,4896.09
MG,contagem,health_beauty,38,4891.58
CE,fortaleza,perfumery,27,4888.75
SP,mogi das cruzes,bed_bath_table,29,4860.29
SP,sao paulo,drinks,66,4858.21
SP,mogi das cruzes,cool_stuff,18,4827.68
RJ,niteroi,cool_stuff,28,4820.38
SP,campinas,stationery,40,4810.24
ES,vila velha,sports_leisure,33,4779.62
SP,indaiatuba,bed_bath_table,38,4758.27
SP,barueri,computers_accessories,25,4755.09
SP,praia grande,health_beauty,38,4752.17
PI,teresina,watches_gifts,22,4739.17
SP,barueri,sports_leisure,33,4731.37
MG,montes claros,health_beauty,32,4691.51
PR,curitiba,garden_tools,39,4691.25
MG,belo horizonte,small_appliances,14,4688.02
ES,serra,watches_gifts,21,4658.99
SP,sao jose do rio preto,housewares,24,4657.91
PI,teresina,sports_leisure,20,4647.79
SP,ribeirao preto,sports_leisure,39,4647.77
SP,caieiras,watches_gifts,13,4634.39
SP,sao jose dos campos,toys,38,4616.8
GO,goiania,furniture_decor,36,4614.92
SP,piracicaba,computers_accessories,29,4612.75
PR,curitiba,perfumery,37,4585.5
SP,mogi das cruzes,garden_tools,15,4571.7
SP,maua,watches_gifts,24,4565.7
PR,londrina,health_beauty,25,4536.68
BA,feira de santana,watches_gifts,16,4508.79
DF,brasilia,fashion_bags_accessories,41,4474.4
GO,goiania,garden_tools,26,4472.95
RJ,rio de janeiro,home_construction,26,4472.09
PE,recife,cool_stuff,22,4471.5
GO,goiania,baby,24,4470.36
RJ,macae,watches_gifts,19,4468.3
SP,taboao da serra,bed_bath_table,41,4460.19
SP,maua,bed_bath_table,40,4458.43
MT,cuiaba,garden_tools,14,4458.14
SP,sao carlos,watches_gifts,12,4454.47
RJ,sao goncalo,sports_leisure,26,4452.44
SP,sorocaba,watches_gifts,24,4433.41
